N values,Option Valuation
1,13.156935136486165
2,10.842581789707504
3,12.105041286539743
4,11.22116697868433
5,11.877161172520164
6,11.349619725318108
7,11.779019492259835
8,11.41226813647698
9,11.724537528207309
10,11.448655001751646
11,11.689917147516018
12,11.472097934250057
13,11.66598200273213
14,11.488278040799583
15,11.648450233445669
16,11.500007246387153
17,11.635056893932665
18,11.508828326348475
19,11.624492054665021
20,11.51565444560179
21,11.615945642753871
22,11.521058572509009
23,11.60888985944924
24,11.52541725961149
25,11.602966117683017
26,11.52898748104322
27,11.597922279326351
28,11.531950179672208
29,11.593575892642972
30,11.534436170724684
31,11.589791677828872
32,11.53654218850346
33,11.586467210114872
34,11.538341176422186
35,11.583523517970667
36,11.539889085018617
37,11.580898734599495
38,11.541229481072603
39,11.578543705422444
40,11.542396744755152
41,11.576418882892659
42,11.543418332670695
43,11.574492089014045
44,11.544316408893708
45,11.572736875303283
46,11.54510903971427
47,11.571131302021726
48,11.545811081719581
49,11.569657016756171
50,11.546434850755109
51,11.568298550071045
52,11.546990631983952
53,11.567042770828301
54,11.547487073123426
55,11.565878460498029
56,11.547931490733538
57,11.56479597718879
58,11.548330111037048
59,11.563786988087148
60,11.548688260913474
61,11.562844254600321
62,11.549010520617543
63,11.561961458462756
64,11.549300846805517
65,11.561133059984453
66,11.54956267234039
67,11.560354181714317
68,11.549798987798452
69,11.559620512357544
70,11.550012408433496
71,11.558928226946623
72,11.55020522951736
73,11.55827392015295
74,11.55037947232287
75,11.557654550276814
76,11.550536922527515
77,11.5570673919739
78,11.550679162438202
79,11.556509996167927
80,11.550807598161859
81,11.555980155916139
82,11.550923482605116
83,11.55547587720301
84,11.551027935038583
85,11.554995353866259
86,11.551121957783767
87,11.554536945990215
88,11.551206450510437
89,11.554099161201094
90,11.551282222537825
91,11.553680638448345
92,11.551350003427638
93,11.553280133864446
94,11.551410452170485
95,11.552896508421457
96,11.551464165142518
97,11.55252871711267
98,11.551511683043731
99,11.55217579945327
100,11.551553496946768
101,11.551836871094027
102,11.551590053603109
103,11.55151111643415
104,11.551621760084473
105,11.551197782064405
106,11.551648987878288
107,11.550896170948189
108,11.551672076497804
109,11.550605637249351
110,11.551691336663687
111,11.55032558171465
112,11.551707053135152
113,11.550055447546281
114,11.551719487215093
115,11.54979471671019
116,11.55172887897696
117,11.54954290662162
118,11.551735449262482
119,11.549299567160803
120,11.55173940144316
121,11.549064277988927
122,11.55174092301952
123,11.548836646122384
124,11.55174018703509
125,11.548616303754175
126,11.551737353359822
127,11.548402906256104
128,11.551732569835153
129,11.548196130386057
130,11.551725973310646
131,11.547995672655777
132,11.551717690576186
133,11.547801247849618
134,11.551707839202253
135,11.54761258765936
136,11.551696528302903
137,11.54742943945204
138,11.551683859227895
139,11.547251565149073
140,11.551669926190085
141,11.547078740188084
142,11.55165481682768
143,11.546910752571366
144,11.551638612727935
145,11.546747402015491
146,11.55162138989936
147,11.546588499129
148,11.551603219196203
149,11.546433864709389
150,11.551584166711862
151,11.546283329046542
152,11.55156429413742
153,11.54613673130678
154,11.551543659087425
155,11.545993918968897
156,11.551522315409432
157,11.54585474728433
158,11.551500313446516
159,11.545719078791103
160,11.551477700292514
161,11.545586782863678
162,11.551454520028724
163,11.545457735288624
164,11.551430813938383
165,11.545331817877015
166,11.551406620690996
167,11.54520891811145
168,11.551381976537245
169,11.545088928796803
170,11.551356915470125
171,11.54497174775746
172,11.551331469366179
173,11.544857277546825
174,11.551305668157157
175,11.544745425172122
176,11.55127953993134
177,11.544636101848717
178,11.551253111068332
179,11.544529222760868
180,11.551226406349251
181,11.54442470684482
182,11.55119944906612
183,11.544322476578456
184,11.55117226110799
185,11.544222457799712
186,11.55114486306347
187,11.544124579511744
188,11.55111727428764
189,11.544028773736683
190,11.55108951299572
191,11.543934975331968
