N values,Option Valuation,Black Scholes
1,13.156935136486165,11.544280227051097
2,10.842581789707504,11.544280227051097
3,12.105041286539743,11.544280227051097
4,11.22116697868433,11.544280227051097
5,11.877161172520164,11.544280227051097
6,11.349619725318108,11.544280227051097
7,11.779019492259835,11.544280227051097
8,11.41226813647698,11.544280227051097
9,11.724537528207309,11.544280227051097
10,11.448655001751646,11.544280227051097
11,11.689917147516018,11.544280227051097
12,11.472097934250057,11.544280227051097
13,11.66598200273213,11.544280227051097
14,11.488278040799583,11.544280227051097
15,11.648450233445669,11.544280227051097
16,11.500007246387153,11.544280227051097
17,11.635056893932665,11.544280227051097
18,11.508828326348475,11.544280227051097
19,11.624492054665021,11.544280227051097
20,11.51565444560179,11.544280227051097
21,11.615945642753871,11.544280227051097
22,11.521058572509009,11.544280227051097
23,11.60888985944924,11.544280227051097
24,11.52541725961149,11.544280227051097
25,11.602966117683017,11.544280227051097
26,11.52898748104322,11.544280227051097
27,11.597922279326351,11.544280227051097
28,11.531950179672208,11.544280227051097
29,11.593575892642972,11.544280227051097
30,11.534436170724684,11.544280227051097
31,11.589791677828872,11.544280227051097
32,11.53654218850346,11.544280227051097
33,11.586467210114872,11.544280227051097
34,11.538341176422186,11.544280227051097
35,11.583523517970667,11.544280227051097
36,11.539889085018617,11.544280227051097
37,11.580898734599495,11.544280227051097
38,11.541229481072603,11.544280227051097
39,11.578543705422444,11.544280227051097
40,11.542396744755152,11.544280227051097
41,11.576418882892659,11.544280227051097
42,11.543418332670695,11.544280227051097
43,11.574492089014045,11.544280227051097
44,11.544316408893708,11.544280227051097
45,11.572736875303283,11.544280227051097
46,11.54510903971427,11.544280227051097
47,11.571131302021726,11.544280227051097
48,11.545811081719581,11.544280227051097
49,11.569657016756171,11.544280227051097
50,11.546434850755109,11.544280227051097
51,11.568298550071045,11.544280227051097
52,11.546990631983952,11.544280227051097
53,11.567042770828301,11.544280227051097
54,11.547487073123426,11.544280227051097
55,11.565878460498029,11.544280227051097
56,11.547931490733538,11.544280227051097
57,11.56479597718879,11.544280227051097
58,11.548330111037048,11.544280227051097
59,11.563786988087148,11.544280227051097
60,11.548688260913474,11.544280227051097
61,11.562844254600321,11.544280227051097
62,11.549010520617543,11.544280227051097
63,11.561961458462756,11.544280227051097
64,11.549300846805517,11.544280227051097
65,11.561133059984453,11.544280227051097
66,11.54956267234039,11.544280227051097
67,11.560354181714317,11.544280227051097
68,11.549798987798452,11.544280227051097
69,11.559620512357544,11.544280227051097
70,11.550012408433496,11.544280227051097
71,11.558928226946623,11.544280227051097
72,11.55020522951736,11.544280227051097
73,11.55827392015295,11.544280227051097
74,11.55037947232287,11.544280227051097
75,11.557654550276814,11.544280227051097
76,11.550536922527515,11.544280227051097
77,11.5570673919739,11.544280227051097
78,11.550679162438202,11.544280227051097
79,11.556509996167927,11.544280227051097
80,11.550807598161859,11.544280227051097
81,11.555980155916139,11.544280227051097
82,11.550923482605116,11.544280227051097
83,11.55547587720301,11.544280227051097
84,11.551027935038583,11.544280227051097
85,11.554995353866259,11.544280227051097
86,11.551121957783767,11.544280227051097
87,11.554536945990215,11.544280227051097
88,11.551206450510437,11.544280227051097
89,11.554099161201094,11.544280227051097
90,11.551282222537825,11.544280227051097
91,11.553680638448345,11.544280227051097
92,11.551350003427638,11.544280227051097
93,11.553280133864446,11.544280227051097
94,11.551410452170485,11.544280227051097
95,11.552896508421457,11.544280227051097
96,11.551464165142518,11.544280227051097
97,11.55252871711267,11.544280227051097
98,11.551511683043731,11.544280227051097
99,11.55217579945327,11.544280227051097
100,11.551553496946768,11.544280227051097
101,11.551836871094027,11.544280227051097
102,11.551590053603109,11.544280227051097
103,11.55151111643415,11.544280227051097
104,11.551621760084473,11.544280227051097
105,11.551197782064405,11.544280227051097
106,11.551648987878288,11.544280227051097
107,11.550896170948189,11.544280227051097
108,11.551672076497804,11.544280227051097
109,11.550605637249351,11.544280227051097
110,11.551691336663687,11.544280227051097
111,11.55032558171465,11.544280227051097
112,11.551707053135152,11.544280227051097
113,11.550055447546281,11.544280227051097
114,11.551719487215093,11.544280227051097
115,11.54979471671019,11.544280227051097
116,11.55172887897696,11.544280227051097
117,11.54954290662162,11.544280227051097
118,11.551735449262482,11.544280227051097
119,11.549299567160803,11.544280227051097
120,11.55173940144316,11.544280227051097
121,11.549064277988927,11.544280227051097
122,11.55174092301952,11.544280227051097
123,11.548836646122384,11.544280227051097
124,11.55174018703509,11.544280227051097
125,11.548616303754175,11.544280227051097
126,11.551737353359822,11.544280227051097
127,11.548402906256104,11.544280227051097
128,11.551732569835153,11.544280227051097
129,11.548196130386057,11.544280227051097
130,11.551725973310646,11.544280227051097
131,11.547995672655777,11.544280227051097
132,11.551717690576186,11.544280227051097
133,11.547801247849618,11.544280227051097
134,11.551707839202253,11.544280227051097
135,11.54761258765936,11.544280227051097
136,11.551696528302903,11.544280227051097
137,11.54742943945204,11.544280227051097
138,11.551683859227895,11.544280227051097
139,11.547251565149073,11.544280227051097
140,11.551669926190085,11.544280227051097
141,11.547078740188084,11.544280227051097
142,11.55165481682768,11.544280227051097
143,11.546910752571366,11.544280227051097
144,11.551638612727935,11.544280227051097
145,11.546747402015491,11.544280227051097
146,11.55162138989936,11.544280227051097
147,11.546588499129,11.544280227051097
148,11.551603219196203,11.544280227051097
149,11.546433864709389,11.544280227051097
150,11.551584166711862,11.544280227051097
151,11.546283329046542,11.544280227051097
152,11.55156429413742,11.544280227051097
153,11.54613673130678,11.544280227051097
154,11.551543659087425,11.544280227051097
155,11.545993918968897,11.544280227051097
156,11.551522315409432,11.544280227051097
157,11.54585474728433,11.544280227051097
158,11.551500313446516,11.544280227051097
159,11.545719078791103,11.544280227051097
160,11.551477700292514,11.544280227051097
161,11.545586782863678,11.544280227051097
