N values,Option Valuation
1,6.391623961326786
2,4.077270614548113
3,5.339730111380378
4,4.455855803524976
5,5.111849997360779
6,4.584308550158785
7,5.013708317100471
8,4.646956961317661
9,4.9592263530478755
10,4.683343826592239
11,4.92460597235662
12,4.706786759090801
13,4.9006708275728
14,4.722966865640172
15,4.8831390582862575
16,4.73469607122788
17,4.869745718773138
18,4.743517151189264
19,4.8591808795057325
20,4.7503432704423
21,4.850634467594617
22,4.755747397349646
23,4.84357868428989
24,4.760106084451786
25,4.837654942523904
26,4.763676305883731
27,4.832611104166933
28,4.766639004513045
29,4.828264717483635
30,4.769124995565227
31,4.824480502669651
32,4.771231013344208
33,4.821156034955424
34,4.773030001262794
35,4.818212342811525
36,4.774577909859483
37,4.81558755944008
38,4.775918305913232
39,4.813232530263318
40,4.77708556959539
41,4.81110770773368
42,4.778107157511342
43,4.809180913855077
44,4.7790052337342335
45,4.80742570014344
46,4.77979786455477
47,4.805820126862177
48,4.780499906559914
49,4.804345841597426
50,4.781123675595896
51,4.802987374911447
52,4.781679456824465
53,4.801731595668929
54,4.782175897963596
55,4.800567285339182
56,4.78262031557431
57,4.799484802028959
58,4.783018935877457
59,4.7984758129272675
60,4.783377085753991
61,4.797533079440476
62,4.783699345458476
63,4.7966502833032845
64,4.783989671646198
65,4.79582188482555
66,4.784251497181324
67,4.795043006555699
68,4.784487812639216
69,4.794309337198094
70,4.784701233273618
71,4.793617051786807
72,4.784894054357068
73,4.792962744993427
74,4.785068297163343
75,4.792343375117522
76,4.7852257473685125
77,4.791756216813911
78,4.785367987279474
79,4.791198821009219
80,4.785496423002011
81,4.790668980757454
82,4.785612307445926
83,4.790164702043231
84,4.7857167598795485
85,4.789684178707128
86,4.7858107826234635
87,4.7892257708299875
88,4.785895275350944
89,4.788787986042205
90,4.78597104737751
91,4.788369463289754
92,4.786038828268553
93,4.787968958705338
94,4.786099277011474
95,4.787585333261669
96,4.786152989983629
97,4.787217541954129
98,4.786200507883677
99,4.786864624293058
100,4.786242321787791
101,4.786525695934229
102,4.78627887844343
103,4.786199941275209
104,4.78631058492437
105,4.785886606905185
106,4.786337812719221
107,4.785584995789154
108,4.7863609013378685
109,4.785294462090307
110,4.786380161503843
111,4.785014406554543
112,4.786395877975449
113,4.784744272386087
114,4.786408312054635
115,4.784483541551584
116,4.78641770381889
117,4.7842317314634535
118,4.786424274103911
119,4.7839883920020645
120,4.7864282262851585
121,4.7837531028286016
122,4.786429747859989
123,4.7835254709645865
124,4.786429011874864
125,4.783305128595488
126,4.786426178199021
127,4.783091731095394
128,4.786421394675131
129,4.782884955224957
130,4.786414798152311
131,4.782684497497741
132,4.786406515418057
133,4.782490072691421
134,4.786396664043459
135,4.782301412499073
136,4.786385353143898
137,4.782118264292646
138,4.78637268406935
139,4.781940389990458
140,4.786358751029521
141,4.781767565027676
142,4.786343641666482
143,4.781599577413288
144,4.786327437568258
145,4.78143622685392
146,4.786310214740637
147,4.781277323970257
148,4.786292044036963
149,4.781122689550142
150,4.786272991551332
151,4.780972153885267
152,4.786253118975944
153,4.780825556147025
154,4.786232483929
155,4.78068274380947
156,4.78621114025131
157,4.780543572124706
158,4.786189138286517
159,4.780407903631983
160,4.7861665251324945
161,4.780275607703309
162,4.7861433448707515
163,4.780146560127524
164,4.786119638778801
165,4.780020642718656
166,4.786095445532678
